,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,250,0,0,0,121,0
1,250,0,1,1,199,0
2,250,0,1,1,185,0
3,250,0,0,0,189,0
4,252,0,0,2,235,2
5,252,1,0,1,182,0
6,253,0,0,1,139,1
7,254,0,0,1,202,1
8,254,0,0,0,188,0
9,254,0,0,0,191,0
10,254,0,0,0,242,0
11,255,0,1,2,183,1
12,255,0,2,2,237,0
13,256,0,0,1,180,1
14,255,0,1,0,144,-1
15,255,0,0,0,231,0
16,257,0,0,2,196,2
17,257,0,0,0,145,0
18,258,0,0,1,204,1
19,257,1,0,0,235,-1
20,258,0,0,1,173,1
21,258,0,0,0,148,0
22,259,0,0,1,213,1
23,259,0,0,0,191,0
24,259,0,0,0,239,0
25,260,0,0,1,177,1
26,259,1,0,0,145,-1
27,259,0,0,0,245,0
28,259,0,0,0,179,0
29,261,0,0,2,137,2
30,259,0,2,0,205,-2
31,259,0,1,1,247,0
32,258,1,0,0,169,-1
33,259,0,0,1,141,1
34,258,0,2,1,166,-1
35,260,0,1,3,203,2
36,260,0,0,0,190,0
37,260,0,0,0,208,0
38,259,1,0,0,234,-1
39,260,0,0,1,185,1
40,260,0,0,0,246,0
41,258,1,1,0,187,-2
42,258,0,1,1,187,0
43,260,0,0,2,210,2
44,258,0,2,0,201,-2
45,258,0,0,0,182,0
46,258,0,0,0,194,0
47,259,0,0,1,140,1
48,260,0,0,1,233,1
49,260,0,0,0,176,0
50,259,0,2,1,138,-1
51,259,0,0,0,213,0
52,260,0,0,1,242,1
53,262,0,0,2,182,2
54,261,0,1,0,244,-1
55,262,0,0,1,178,1
56,262,0,0,0,199,0
57,262,0,0,0,209,0
58,262,0,0,0,197,0
59,264,0,1,3,206,2
60,263,1,0,0,152,-1
61,264,0,0,1,252,1
62,263,1,0,0,178,-1
63,263,0,0,0,192,0
64,265,0,0,2,148,2
65,265,0,0,0,240,0
66,266,0,0,1,181,1
67,267,0,0,1,137,1
68,267,0,0,0,188,0
69,266,1,1,1,196,-1
70,266,1,0,1,242,0
71,266,0,0,0,202,0
72,265,0,1,0,245,-1
73,266,0,0,1,179,1
74,266,0,1,1,141,0
75,266,0,0,0,210,0
76,265,2,0,1,246,-1
77,265,0,0,0,179,0
78,264,0,1,0,244,-1
79,263,1,0,0,183,-1
80,266,0,0,3,151,3
81,266,0,0,0,242,0
82,266,0,0,0,176,0
83,266,0,0,0,132,0
84,266,0,0,0,186,0
85,266,0,0,0,248,0
86,268,0,0,2,176,2
87,268,0,0,0,207,0
88,267,1,1,1,198,-1
89,266,0,1,0,186,-1
90,266,0,0,0,151,0
91,265,1,0,0,242,-1
