,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,250,0,0,0,232,0
1,249,2,0,1,176,-1
2,251,0,0,2,237,2
3,251,1,0,1,168,0
4,251,0,0,0,186,0
5,250,1,0,0,152,-1
6,249,1,1,1,157,-1
7,249,0,0,0,232,0
8,248,0,1,0,189,-1
9,246,2,0,0,137,-2
10,246,0,0,0,231,0
11,244,1,1,0,169,-2
12,243,1,0,0,138,-1
13,243,0,0,0,230,0
14,242,0,1,0,182,-1
15,244,0,0,2,193,2
16,245,0,0,1,185,1
17,247,0,0,2,145,2
18,247,0,0,0,230,0
19,245,2,0,0,175,-2
20,244,0,1,0,187,-1
21,244,0,0,0,146,0
22,244,0,0,0,222,0
23,243,1,0,0,178,-1
24,243,0,0,0,127,0
25,245,0,0,2,202,2
26,245,0,0,0,174,0
27,243,2,0,0,182,-2
28,242,0,1,0,174,-1
29,242,0,0,0,186,0
30,242,0,0,0,217,0
31,240,2,0,0,175,-2
32,240,0,0,0,179,0
33,240,0,0,0,133,0
34,240,0,0,0,222,0
35,240,1,0,1,176,0
36,240,2,0,2,135,0
37,239,0,1,0,151,-1
38,237,0,2,0,176,-2
39,236,1,0,0,219,-1
40,237,0,0,1,174,1
41,235,2,0,0,139,-2
42,234,1,0,0,216,-1
43,233,1,0,0,168,-1
44,233,0,0,0,210,0
45,232,1,1,1,166,-1
46,231,1,0,0,182,-1
47,230,1,0,0,162,-1
48,229,1,0,0,170,-1
49,226,3,0,0,132,-3
50,225,1,0,0,215,-1
51,224,2,0,1,168,-1
52,222,1,1,0,115,-2
53,222,0,1,1,203,0
54,222,0,0,0,140,0
55,224,0,0,2,123,2
56,223,0,1,0,206,-1
57,223,0,0,0,165,0
58,223,0,0,0,124,0
59,224,0,0,1,143,1
60,223,1,0,0,204,-1
61,222,0,1,0,152,-1
62,222,0,0,0,165,0
63,222,0,0,0,163,0
64,222,0,0,0,129,0
65,221,0,1,0,137,-1
66,221,0,1,1,181,0
67,221,0,0,0,170,0
68,219,1,1,0,168,-2
69,219,0,0,0,180,0
70,218,0,1,0,201,-1
71,218,0,1,1,159,0
72,216,1,1,0,115,-2
73,216,0,0,0,142,0
74,216,0,0,0,205,0
75,216,1,0,1,159,0
76,217,0,1,2,200,1
77,216,1,0,0,157,-1
78,217,0,0,1,205,1
79,216,1,1,1,154,-1
80,216,0,0,0,124,0
81,217,1,0,2,203,1
82,217,0,0,0,159,0
83,216,0,1,0,121,-1
84,216,0,0,0,206,0
85,216,0,0,0,160,0
86,216,0,0,0,119,0
87,212,4,0,0,201,-4
88,212,0,0,0,154,0
89,213,0,0,1,134,1
90,215,0,0,2,126,2
91,214,0,1,0,204,-1
92,214,0,0,0,152,0
93,215,0,0,1,121,1
94,212,3,0,0,195,-3
95,211,1,1,1,149,-1
96,211,0,0,0,119,0
97,208,3,0,0,140,-3
98,207,2,0,1,167,-1
99,208,0,0,1,163,1
100,209,0,0,1,190,1
101,208,1,0,0,151,-1
102,208,0,0,0,194,0
103,207,1,0,0,162,-1
104,208,0,0,1,155,1
105,207,1,0,0,122,-1
106,207,0,1,1,191,0
107,205,2,0,0,144,-2
108,206,0,0,1,131,1
109,207,0,0,1,176,1
110,207,0,0,0,193,0
111,206,1,0,0,156,-1
112,206,0,0,0,123,0
113,206,0,0,0,165,0
114,204,1,1,0,188,-2
115,204,0,0,0,146,0
116,204,0,0,0,124,0
117,203,1,0,0,144,-1
118,203,0,1,1,155,0
119,203,1,0,1,190,0
120,203,0,0,0,146,0
121,202,1,0,0,190,-1
122,200,1,2,1,148,-2
123,199,1,0,0,187,-1
124,199,0,0,0,136,0
125,196,2,1,0,183,-3
126,195,1,0,0,143,-1
127,195,0,0,0,126,0
128,196,1,0,2,185,1
129,195,1,0,0,147,-1
130,194,1,0,0,153,-1
131,194,0,0,0,162,0
132,193,2,0,1,125,-1
133,192,1,0,0,180,-1
134,191,1,0,0,142,-1
135,192,0,0,1,113,1
136,192,1,0,1,160,0
137,192,0,0,0,147,0
138,191,1,0,0,155,-1
139,192,0,0,1,181,1
140,193,0,0,1,158,1
141,193,0,0,0,145,0
142,193,0,1,1,119,0
143,193,0,0,0,182,0
144,194,0,0,1,146,1
145,194,0,0,0,156,0
146,194,0,0,0,156,0
147,195,0,0,1,122,1
148,195,0,0,0,134,0
149,194,1,0,0,176,-1
150,194,0,0,0,153,0
151,193,1,0,0,118,-1
152,192,1,0,0,184,-1
153,191,1,0,0,142,-1
154,190,0,1,0,177,-1
155,190,0,0,0,140,0
156,186,3,1,0,111,-4
157,187,0,0,1,170,1
158,188,1,0,2,138,1
159,187,1,0,0,111,-1
160,186,1,0,0,176,-1
161,187,0,0,1,140,1
162,187,0,0,0,104,0
163,188,0,0,1,132,1
164,188,0,0,0,144,0
165,189,0,0,1,174,1
166,188,1,0,0,152,-1
167,188,0,0,0,111,0
168,187,0,1,0,181,-1
169,187,0,0,0,146,0
170,188,0,0,1,153,1
171,187,1,0,0,146,-1
172,189,0,0,2,144,2
173,188,0,1,0,117,-1
174,189,0,0,1,110,1
175,191,0,0,2,176,2
176,190,2,0,1,139,-1
177,190,0,0,0,146,0
178,189,1,1,1,147,-1
179,188,1,0,0,132,-1
180,188,0,0,0,173,0
181,188,1,0,1,144,0
182,187,0,2,1,114,-1
183,186,1,0,0,175,-1
184,187,0,0,1,151,1
185,187,0,0,0,117,0
186,186,1,0,0,172,-1
187,185,1,1,1,143,-1
188,184,1,0,0,173,-1
189,182,2,0,0,138,-2
190,182,0,0,0,172,0
191,181,1,0,0,134,-1
192,181,0,0,0,103,0
193,182,0,1,2,155,1
194,180,2,0,0,175,-2
195,179,1,0,0,130,-1
196,180,0,0,1,147,1
197,181,1,0,2,125,1
198,182,0,0,1,174,1
199,182,0,1,1,142,0
200,180,2,0,0,148,-2
201,179,1,0,0,113,-1
202,179,0,0,0,168,0
203,179,0,0,0,141,0
204,179,0,0,0,107,0
205,176,2,1,0,149,-3
206,176,1,0,1,168,0
207,175,0,1,0,129,-1
208,175,0,0,0,112,0
209,174,1,0,0,166,-1
210,174,0,0,0,136,0
211,173,1,0,0,108,-1
212,172,1,0,0,161,-1
213,173,0,0,1,128,1
214,172,0,1,0,167,-1
215,172,1,0,1,128,0
216,171,1,0,0,140,-1
217,170,1,0,0,118,-1
218,171,0,0,1,158,1
219,171,1,0,1,131,0
220,171,0,0,0,162,0
221,171,0,0,0,119,0
222,171,0,0,0,113,0
223,172,0,0,1,158,1
224,172,0,0,0,136,0
225,172,0,0,0,95,0
226,171,1,0,0,162,-1
227,171,0,0,0,132,0
228,171,0,0,0,102,0
229,169,0,2,0,115,-2
230,169,0,0,0,139,0
231,169,0,0,0,135,0
232,169,0,0,0,128,0
233,167,2,0,0,132,-2
234,166,1,0,0,130,-1
235,166,0,0,0,152,0
236,165,1,0,0,134,-1
237,165,0,0,0,153,0
238,165,0,0,0,117,0
239,164,0,1,0,96,-1
240,163,1,0,0,125,-1
241,163,1,0,1,152,0
242,162,0,1,0,120,-1
243,162,0,0,0,109,0
244,161,1,0,0,133,-1
245,161,0,0,0,149,0
246,160,0,1,0,133,-1
247,162,0,0,2,97,2
248,162,0,1,1,154,0
249,162,0,0,0,119,0
250,163,0,0,1,93,1
251,160,3,0,0,107,-3
252,160,0,0,0,128,0
253,158,2,0,0,150,-2
254,157,0,1,0,112,-1
255,157,0,0,0,131,0
256,157,0,0,0,132,0
257,157,0,0,0,95,0
258,156,0,1,0,151,-1
259,156,0,0,0,131,0
260,156,0,0,0,102,0
261,158,0,0,2,126,2
262,159,0,0,1,132,1
263,158,0,1,0,125,-1
264,158,0,0,0,128,0
265,158,0,0,0,121,0
266,158,0,0,0,125,0
267,157,1,0,0,118,-1
268,155,1,1,0,124,-2
269,156,0,0,1,146,1
270,157,0,0,1,117,1
271,157,0,0,0,148,0
272,157,0,0,0,117,0
273,157,0,0,0,113,0
274,158,0,0,1,98,1
275,158,0,0,0,140,0
276,158,0,0,0,153,0
277,158,0,0,0,119,0
278,160,0,0,2,99,2
279,159,2,0,1,128,-1
