,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,251,0,0,1,232,1
1,253,0,0,2,174,2
2,254,0,0,1,127,1
3,254,0,0,0,226,0
4,254,0,0,0,183,0
5,254,0,1,1,142,0
6,254,0,1,1,233,0
7,255,0,0,1,177,1
8,255,0,1,1,227,0
9,255,0,0,0,173,0
10,254,0,1,0,204,-1
11,253,0,1,0,151,-1
12,256,0,0,3,229,3
13,257,0,0,1,176,1
14,259,0,0,2,183,2
15,260,0,0,1,199,1
16,260,0,0,0,142,0
17,260,0,0,0,160,0
18,260,0,0,0,243,0
19,260,0,0,0,185,0
20,258,0,4,2,192,-2
21,258,0,0,0,199,0
22,259,0,0,1,127,1
23,260,0,0,1,160,1
24,260,0,0,0,201,0
25,260,0,0,0,187,0
26,261,0,0,1,234,1
27,261,0,0,0,189,0
28,261,0,0,0,129,0
29,263,0,0,2,166,2
30,264,0,0,1,208,1
31,263,0,2,1,242,-1
32,262,0,1,0,174,-1
33,261,0,1,0,243,-1
34,260,0,1,0,180,-1
35,260,0,0,0,141,0
36,262,0,1,3,161,2
37,266,0,0,4,199,4
38,266,0,0,0,247,0
39,266,0,0,0,178,0
40,265,0,1,0,203,-1
41,267,0,0,2,159,2
42,266,0,1,0,166,-1
43,266,0,0,0,206,0
44,266,0,0,0,204,0
45,266,0,0,0,240,0
46,266,0,0,0,192,0
47,267,0,0,1,245,1
48,268,0,0,1,190,1
49,267,0,1,0,248,-1
50,267,0,0,0,184,0
51,267,0,0,0,141,0
52,268,0,0,1,219,1
53,270,0,0,2,192,2
54,266,0,4,0,244,-4
55,268,0,0,2,192,2
56,269,0,0,1,160,1
57,269,0,0,0,251,0
58,270,0,0,1,196,1
59,270,0,1,1,202,0
60,271,0,0,1,199,1
61,271,0,0,0,209,0
62,272,0,0,1,154,1
63,272,0,1,1,239,0
64,271,0,1,0,191,-1
65,270,0,1,0,207,-1
66,271,0,0,1,200,1
67,270,0,1,0,203,-1
68,270,0,0,0,201,0
69,270,0,0,0,200,0
70,270,0,0,0,191,0
